FromId;ToId;DistanceMeters
castle_hall;library;45
castle_hall;courtyard;60
castle_hall;throne_room;80
castle_hall;stables;150
castle_hall;dungeon_entrance;120
library;castle_hall;45
courtyard;castle_hall;60
courtyard;stables;100
courtyard;market_square;400
courtyard;herb_garden;40
throne_room;castle_hall;80
stables;castle_hall;150
stables;courtyard;100
dungeon_entrance;castle_hall;120
dungeon_entrance;dungeon_cell;30
dungeon_entrance;crypt;50
dungeon_cell;dungeon_entrance;30
crypt;dungeon_entrance;50
herb_garden;courtyard;40
tavern;market_square;35
tavern;inn_room;25
market_square;tavern;35
market_square;blacksmith;40
market_square;chapel;55
market_square;courtyard;400
market_square;abandoned_mill;200
blacksmith;market_square;40
blacksmith;stables;200
inn_room;tavern;25
inn_room;chapel;60
chapel;market_square;55
chapel;inn_room;60
abandoned_mill;market_square;200
forest;forest_clearing;300
forest_clearing;forest;300
forest_clearing;river_crossing;250
river_crossing;forest_clearing;250
river_crossing;mountain_pass;500
mountain_pass;river_crossing;500
