Id;DisplayName;Type;Region;BaseNoise;NoisePerPerson;Capacity;AllowsPrivacy;Terrain;DangerLevel;AllowsPickup
castle_hall;Castle Hall;Social;Castle;0.20;0.05;20;false;Indoor;0.0;true
library;Library;Private;Castle;0.05;0.02;5;true;Indoor;0.0;true
courtyard;Courtyard;Public;Castle;0.30;0.04;30;false;Courtyard;0.0;true
throne_room;Throne Room;Social;Castle;0.10;0.03;15;false;Indoor;0.0;true
stables;Stables;Work;Castle;0.40;0.06;10;false;Indoor;0.0;true
dungeon_entrance;Dungeon Entrance;Public;Castle;0.05;0.02;10;false;Indoor;0.4;false
dungeon_cell;Dungeon Cell;Private;Castle;0.02;0.01;2;true;Indoor;0.6;true
crypt;Ancient Crypt;Private;Castle;0.01;0.01;4;true;Indoor;0.7;false
tavern;Tavern;Social;Village;0.50;0.08;25;false;Indoor;0.0;true
market_square;Market Square;Public;Village;0.60;0.07;50;false;Courtyard;0.0;true
blacksmith;Blacksmith;Work;Village;0.70;0.05;8;false;Indoor;0.0;true
inn_room;Inn Room;Rest;Village;0.05;0.03;3;true;Indoor;0.0;true
chapel;Chapel;Private;Village;0.05;0.01;20;false;Indoor;0.0;true
herb_garden;Herb Garden;Work;Village;0.05;0.03;8;false;Courtyard;0.0;true
abandoned_mill;Abandoned Mill;Work;Village;0.05;0.03;6;false;Indoor;0.2;true
forest;Forest;Public;Forest;0.05;0.06;1000;true;Forest;0.1;true
forest_clearing;Forest Clearing;Public;Wilds;0.10;0.05;20;false;Forest;0.2;true
river_crossing;River Crossing;Public;Wilds;0.15;0.05;10;false;Water;0.3;false
mountain_pass;Mountain Pass;Public;Wilds;0.05;0.02;8;false;Mountain;0.5;false
