TemplateId;DisplayName;Biome;AffordanceType;Satisfaction;ItemKind;WeightGrams;RespawnMinutes;Pickable;CalorieGain;ProteinGain;IronGain;VitaminDGain;HydrationGain;HemeIronFraction;VitaminCMilligrams
# Katalog jídla/pití/odpočinku pro procedurální generátory (WorldGen) — jeden řádek = jeden
# objektový vzor. Vlastní katalog: dej cestu k vlastnímu souboru přes volání
# NutritionCatalogLoader.Load(diskPath) — kód se měnit nemusí.
#
# TemplateId: základ finálního id objektu ({lokace}_{TemplateId}_01) — musí být unikátní v souboru.
# Biome: Forest / Mountain / Plains / Coastline / Desert / Tundra / Savanna / Jungle / Any (Any =
#        použitelné v jakékoli lokaci) — spotřebitel vybírá jen řádky, jejichž Biome odpovídá
#        klasifikaci dané lokace (viz WorldGen.Generation.ClimateModel), plus všechny Any.
# AffordanceType: Hunger / Thirst / Rest.
# ItemKind: Food / Drink / None (musí odpovídat PickupItemKind).
# Pickable: true/false.
# Nutriční sloupce: prázdné = žádný přínos dané složky (NULL). U Rest řádků nech všechny prázdné.
# HemeIronFraction: jen u masa/ryb (~0.4) — heme železo není posíleno vitamínem C. Zdroj konceptu:
#   Cook JD & Monsen ER, Am J Clin Nutr 1977;30(2):235-241, DOI 10.1093/ajcn/30.2.235 (viz taky
#   GameEngineTools/Characters/Engines/Physiology/NutritionMath.cs, kde je stejná citace použita).
# VitaminCMilligrams: u kyselých/zelených plodů — posiluje vstřebávání non-heme železa v témže jídle.
#
# Desert/Tundra/Savanna/Jungle řádky (níže) čerpají relativní poměry živin (ne doslovné klinické
# hodnoty — celý katalog je herně škálovaný, viz Forest/Mountain výše) z peer-reviewed přehledů
# a studií výživové skladby typických potravinových zdrojů daného biomu:
#   Datle:        Al-Farsi MA & Lee CY, Crit Rev Food Sci Nutr 2008;48(10):877-887,
#                 DOI 10.1080/10408390701724264 — energeticky bohaté, nízký obsah vitamínu C.
#   Opuncie/kaktus: Stintzing FC & Carle R, Mol Nutr Food Res 2005;49(2):175-194,
#                 DOI 10.1002/mnfr.200400071 — vysoký obsah vody a vitamínu C v dužině.
#   Sob/karibu:   Wiklund E, Farouk M & Finstad G, Animal Frontiers 2014;4(4):55-61,
#                 DOI 10.2527/af.2014-0031 — libové maso, vysoký obsah proteinu a heme železa.
#   Arktická ryba: Lu Z et al., J Steroid Biochem Mol Biol 2007;103(3-5):642-644,
#                 DOI 10.1016/j.jsbmb.2006.12.010 — tučné studenovodní ryby jako top zdroj vit. D.
#   Čirok:        Dicko MH, Gruppen H, Traoré AS, Voragen AGJ & van Berkel WJH,
#                 Afr J Biotechnol 2006;5(5):384-395 — základní obilnina savan, energie+protein.
#   Baobab:       Chadare FJ, Linnemann AR, Hounhouigan JD, Nout MJR & Van Boekel MAJS,
#                 Crit Rev Food Sci Nutr 2009;49(3):254-274, DOI 10.1080/10408390701856330 —
#                 plod s extrémně vysokým obsahem vitamínu C.
#   Banán:        Forster MP, Rodríguez ER, Darias Martín J & Díaz Romero C,
#                 Food Technol Biotechnol 2003;41(2):167-171 — energie, draslík, mírný vitamín C.
#   Kasava:       Montagnac JA, Davis CR & Tanumihardjo SA, Compr Rev Food Sci Food Saf
#                 2009;8(3):181-194, DOI 10.1111/j.1541-4337.2009.00077.x — energeticky bohatá
#                 hlíza, ale nápadně nízký obsah proteinu (dobře zdokumentovaný nutriční problém).

# ── Forest ────────────────────────────────────────────────────────────────────
forest_berries;Lesní bobule;Forest;Hunger;0.20;Food;60;720;true;15;0.8;1.5;;25;;15
forest_mushrooms;Lesní houby;Forest;Hunger;0.30;Food;80;720;true;10;3.0;2.5;18;10;;
forest_nuts;Lesní ořechy;Forest;Hunger;0.35;Food;100;1440;true;28;5.0;2.0;;3;;
forest_stream;Lesní potok;Forest;Thirst;0.85;Drink;500;120;false;0;;;;85;;

# ── Mountain ──────────────────────────────────────────────────────────────────
mountain_jerky;Sušené maso;Mountain;Hunger;0.55;Food;120;1440;true;55;40.0;12.0;;1;0.4;
mountain_berries;Horské plody;Mountain;Hunger;0.15;Food;40;1440;true;10;0.5;1.0;;18;;
mountain_snow;Roztátý sníh;Mountain;Thirst;0.80;Drink;500;60;false;0;;;;80;;

# ── Plains ────────────────────────────────────────────────────────────────────
plains_grain;Planinné obilí;Plains;Hunger;0.25;Food;70;720;true;20;3.0;1.0;;5;;10
plains_well;Studna;Plains;Thirst;0.90;Drink;500;180;false;0;;;;90;;

# ── Coastline ─────────────────────────────────────────────────────────────────
coastline_shellfish;Mušle;Coastline;Hunger;0.40;Food;90;480;true;35;9.0;3.0;10;5;0.3;

# ── Desert ────────────────────────────────────────────────────────────────────
desert_dates;Datle;Desert;Hunger;0.30;Food;60;1440;true;35;1.0;1.0;;5;;
desert_jerky;Sušené kozí maso;Desert;Hunger;0.55;Food;120;1440;true;50;38.0;11.0;;1;0.4;
desert_cactus_water;Voda z opuncie;Desert;Thirst;0.65;Drink;400;240;false;0;;;;55;;8

# ── Tundra ────────────────────────────────────────────────────────────────────
tundra_reindeer;Sobí maso;Tundra;Hunger;0.55;Food;120;1440;true;45;35.0;10.0;;2;0.4;
tundra_arctic_char;Arktická ryba;Tundra;Hunger;0.45;Food;100;480;true;30;20.0;2.0;20;8;0.3;
tundra_meltwater;Roztátý led;Tundra;Thirst;0.75;Drink;500;60;false;0;;;;78;;

# ── Savanna ───────────────────────────────────────────────────────────────────
savanna_sorghum;Čirok;Savanna;Hunger;0.25;Food;70;720;true;22;3.5;1.2;;4;;
savanna_baobab;Plod baobabu;Savanna;Hunger;0.20;Food;50;1440;true;15;0.8;1.0;;10;;30
savanna_waterhole;Napajedlo;Savanna;Thirst;0.70;Drink;500;180;false;0;;;;75;;

# ── Jungle ────────────────────────────────────────────────────────────────────
jungle_banana;Banán;Jungle;Hunger;0.25;Food;100;720;true;25;1.0;0.3;;15;;9
jungle_cassava;Kasava;Jungle;Hunger;0.30;Food;150;1440;true;32;0.8;0.5;;5;;15
jungle_rainwater;Dešťová voda;Jungle;Thirst;0.85;Drink;500;60;false;0;;;;82;;

# ── Any (univerzální, dostupné všude) ──────────────────────────────────────────
spring_water;Pramen vody;Any;Thirst;0.85;Drink;500;120;false;0;;;;85;;
resting_spot;Odpočívadlo;Any;Rest;0.25;None;0;0;false;;;;;;;
town_square;Tržiště;Any;Social;0.40;None;0;0;false;;;;;;;
