FromId;ToId;TravelMinutes
castle_hall;library;3
castle_hall;courtyard;2
castle_hall;throne_room;5
castle_hall;stables;8
library;castle_hall;3
courtyard;castle_hall;2
courtyard;stables;4
courtyard;market_square;10
throne_room;castle_hall;5
stables;castle_hall;8
stables;courtyard;4
tavern;market_square;2
tavern;inn_room;1
tavern;blacksmith;5
market_square;tavern;2
market_square;blacksmith;5
market_square;chapel;4
market_square;courtyard;10
blacksmith;market_square;5
blacksmith;stables;6
inn_room;tavern;1
chapel;market_square;4
