Id;DisplayName;Type;Region;BaseNoise;NoisePerPerson;Capacity;AllowsPrivacy
castle_hall;Castle Hall;Social;Castle;0.20;0.05;20;false
library;Library;Private;Castle;0.05;0.02;5;true
courtyard;Courtyard;Public;Castle;0.30;0.04;30;false
throne_room;Throne Room;Social;Castle;0.10;0.03;15;false
stables;Stables;Work;Castle;0.40;0.06;10;false
tavern;Tavern;Social;Village;0.50;0.08;25;false
market_square;Market Square;Public;Village;0.60;0.07;50;false
blacksmith;Blacksmith;Work;Village;0.70;0.05;8;false
inn_room;Inn Room;Rest;Village;0.05;0.03;3;true
chapel;Chapel;Private;Village;0.05;0.01;20;false
